compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5,canonical_smiles,source_file,mw,logp,tpsa,hbd,hba,rotbonds,heavy_atoms,sulfonamide,beta_lactam,hydroxamate,diaminopyrimidine,xanthine,hydrazone,benzimidazole,benzothiazole,aryl_halide,similarity_component,top5_component,maccs_component,sar_bonus,evidence_score,organism_prior,evidence_tier,organism,organism_adjusted_score,panel_rank,panel_target_count,organism_target_panel,justification
T2Z9,FabI,0.2,0.1881233671988389,0.7051282051282052,CHEMBL3623422,6.96,110.0,CHEMBL3994,S. aureus,331,0.19,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Cl)cc1,compounds_normalized.sdf,598.0270000000002,1.9792199999999995,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.18181818181818182,0.2402741493307531,0.8644688644688646,0.02,0.30064795791210885,1.0,low,Bacillus cereus,0.30064795791210885,2,5,FabI; DHFR; FtsZ; GyrB; MurA,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
X1V11,GyrB,0.282051282051282,0.2773230979515523,0.7424242424242424,CHEMBL3962799,5.7,2000.0,CHEMBL1826,E. coli,253,0.282051282051282,0,0,COc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,362.4360000000001,2.3983,106.67,2,7,5,24,0,0,0,0,0,0,0,0,0,0.33100233100233084,0.43849577322567174,0.9177489177489179,0.0,0.41278744646992105,1.03,moderate,Bacillus cereus,0.4251710698640187,1,5,FabI; DHFR; FtsZ; GyrB; MurA,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
X1V11,FabI,0.2463768115942029,0.2082019366845769,0.5733333333333334,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.2058823529411764,0,0,COc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,362.4360000000001,2.3983,106.67,2,7,5,24,0,0,0,0,0,0,0,0,0,0.26613965744400525,0.28489319263239316,0.6761904761904763,0.0,0.30572169830867235,1.0,low,Bacillus cereus,0.30572169830867235,2,5,FabI; DHFR; FtsZ; GyrB; MurA,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
X1V19,GyrB,0.2816901408450704,0.2525559768869628,0.8135593220338984,CHEMBL3944293,5.7,2000.0,CHEMBL1826,E. coli,253,0.25,0,0,N#Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,357.4200000000001,2.26138,121.23,2,7,4,24,0,0,0,0,0,0,0,0,0,0.33034571062740065,0.3834577264154728,1.0,0.0,0.4110372869175686,1.03,moderate,Bacillus cereus,0.42336840552509564,1,5,FabI; DHFR; FtsZ; GyrB; MurA,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
X1V19,DHFR,0.2142857142857142,0.1717385487289728,0.5238095238095238,CHEMBL120783,6.5,320.0,CHEMBL2329,C. albicans,232,0.188235294117647,0,0,N#Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,357.4200000000001,2.26138,121.23,2,7,4,24,0,0,0,0,0,0,0,0,0,0.20779220779220758,0.20386344161993952,0.6054421768707484,0.0,0.24567829083170095,1.0,low,Bacillus cereus,0.24567829083170095,2,5,FabI; DHFR; FtsZ; GyrB; MurA,FolA/DHFR is an essential folate-cycle enzyme; evidence is strongest when diaminopyrimidine-like or folate-mimetic chemistry is present and the nearest active reference ligands are similar.
X1V20,GyrB,0.2816901408450704,0.2525559768869628,0.8305084745762712,CHEMBL3944293,5.7,2000.0,CHEMBL1826,E. coli,253,0.25,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cccnc3)sc2c1,compounds_normalized.sdf,333.398,1.7846999999999995,110.33,2,7,4,22,0,0,0,0,0,0,0,0,0,0.33034571062740065,0.3834577264154728,1.0,0.0,0.4110372869175686,1.03,moderate,Bacillus cereus,0.42336840552509564,1,5,FabI; DHFR; FtsZ; GyrB; MurA,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
X1V20,FabI,0.2179487179487179,0.2009586574474215,0.4939759036144578,CHEMBL3623407,5.69,2040.0,CHEMBL3994,S. aureus,331,0.2125,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cccnc3)sc2c1,compounds_normalized.sdf,333.398,1.7846999999999995,110.33,2,7,4,22,0,0,0,0,0,0,0,0,0,0.21445221445221432,0.2687970165498256,0.5628227194492255,0.0,0.25884876928094736,1.0,low,Bacillus cereus,0.25884876928094736,2,5,FabI; DHFR; FtsZ; GyrB; MurA,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
X1V26,GyrB,0.3,0.2822763249079038,0.6901408450704225,CHEMBL3944293,5.7,2000.0,CHEMBL1826,E. coli,253,0.2837837837837837,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cc(Cl)ccc3O)sc2c1,compounds_normalized.sdf,382.854,2.748700000000001,117.67,3,7,4,24,0,0,0,0,0,0,0,0,1,0.3636363636363636,0.4495029442397861,0.8430583501006037,0.0,0.42065267039321885,1.03,moderate,Bacillus cereus,0.43327225050501544,1,5,FabI; DHFR; FtsZ; GyrB; MurA,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
X1V26,FabI,0.2285714285714285,0.2005007221954742,0.618421052631579,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.208955223880597,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cc(Cl)ccc3O)sc2c1,compounds_normalized.sdf,382.854,2.748700000000001,117.67,3,7,4,24,0,0,0,0,0,0,0,0,1,0.23376623376623362,0.26777938265660933,0.7406015037593986,0.0,0.2949181881111789,1.0,low,Bacillus cereus,0.2949181881111789,2,5,FabI; DHFR; FtsZ; GyrB; MurA,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
X1V9,GyrB,0.2941176470588235,0.2697204487696026,0.8448275862068966,CHEMBL3944293,5.7,2000.0,CHEMBL1826,E. coli,253,0.2692307692307692,0,0,Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,346.43700000000007,2.698120000000001,97.44,2,6,4,23,0,0,0,0,0,0,0,0,0,0.3529411764705881,0.42160099726578354,1.0,0.0,0.43187083755173994,1.03,moderate,Bacillus cereus,0.44482696267829214,1,5,FabI; DHFR; FtsZ; GyrB; MurA,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
X1V9,DHFR,0.216867469879518,0.1981817312704435,0.5421686746987951,CHEMBL367220,6.27,538.0,CHEMBL2329,C. albicans,232,0.2151898734177215,0,0,Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,346.43700000000007,2.698120000000001,97.44,2,6,4,23,0,0,0,0,0,0,0,0,0,0.21248630887185088,0.26262606948987444,0.6316695352839932,0.0,0.26665010210099305,1.0,low,Bacillus cereus,0.26665010210099305,2,5,FabI; DHFR; FtsZ; GyrB; MurA,FolA/DHFR is an essential folate-cycle enzyme; evidence is strongest when diaminopyrimidine-like or folate-mimetic chemistry is present and the nearest active reference ligands are similar.
BI-1,GyrB,0.375,0.317451558103732,0.6307692307692307,CHEMBL3341781,5.5,3132.0,CHEMBL1921666,S. aureus,253,0.3623188405797101,0,0,O=C(CSc1nc2cc(OC(F)F)ccc2[nH]1)Nc1ccccc1,compounds_normalized.sdf,349.3620000000001,3.895100000000002,67.00999999999999,2,4,6,24,0,0,0,0,0,0,0,0,0,0.5,0.5276701291194044,0.7582417582417583,0.0,0.4956537960161148,1.03,moderate,Escherichia coli,0.5105234098965983,1,5,MurA; DHFR; FabI; GyrB; LpxC,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
BI-1,LpxC,0.2051282051282051,0.1988599194232997,0.5138888888888888,CHEMBL3647226,8.02,9.55,CHEMBL3855,P. aeruginosa,600,0.2,0,0,O=C(CSc1nc2cc(OC(F)F)ccc2[nH]1)Nc1ccccc1,compounds_normalized.sdf,349.3620000000001,3.895100000000002,67.00999999999999,2,4,6,24,0,0,0,0,0,0,0,0,0,0.19114219114219105,0.2641331542739993,0.5912698412698413,0.0,0.25029486033007153,1.05,low,Escherichia coli,0.2628096033465751,2,5,MurA; DHFR; FabI; GyrB; LpxC,"LpxC is a Zn-dependent deacetylase in lipid-A biosynthesis; hydroxamate-like chelation is a strong mechanistic flag, while similarity alone is insufficient."
BI-6,GyrB,0.3164556962025316,0.2783629095754346,0.6438356164383562,CHEMBL3341781,5.5,3132.0,CHEMBL1921666,S. aureus,253,0.3026315789473684,0,0,Cc1cccc(NC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)c1,compounds_normalized.sdf,363.389,4.203520000000002,67.01,2,4,6,25,0,0,0,0,0,0,0,0,0,0.39355581127733014,0.44080646572318793,0.7769080234833661,0.0,0.42351572559196693,1.03,moderate,Escherichia coli,0.436221197359726,1,5,MurA; DHFR; FabI; GyrB; LpxC,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
BI-6,LpxC,0.2317073170731707,0.217460910969692,0.5131578947368421,CHEMBL3647252,9.05,0.883,CHEMBL3855,P. aeruginosa,600,0.2234042553191489,0,0,Cc1cccc(NC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)c1,compounds_normalized.sdf,363.389,4.203520000000002,67.01,2,4,6,25,0,0,0,0,0,0,0,0,0,0.23946784922394668,0.30546869104375995,0.5902255639097745,0.0,0.2846349319593795,1.05,low,Escherichia coli,0.2988666785573485,2,5,MurA; DHFR; FabI; GyrB; LpxC,"LpxC is a Zn-dependent deacetylase in lipid-A biosynthesis; hydroxamate-like chelation is a strong mechanistic flag, while similarity alone is insufficient."
OX-11,GyrB,0.2083333333333333,0.1963518325516762,0.7051282051282052,CHEMBL3736056,7.89,13.0,CHEMBL1921666,S. aureus,253,0.1979166666666666,0,0,Cc1cccc(C)c1NC(=O)CSc1nnc(Cn2c(=O)c3c(ncn3C)n(C)c2=O)o1,compounds_normalized.sdf,455.50000000000017,1.21264,129.84,1,8,6,32,0,0,0,0,0,0,0,0,0,0.19696969696969685,0.2585596278926138,0.8644688644688646,0.0,0.2927950851283315,1.03,low,Escherichia coli,0.30157893768218147,1,5,MurA; DHFR; FabI; GyrB; LpxC,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
OX-11,LpxC,0.2022471910112359,0.1983343733535608,0.627906976744186,CHEMBL2023138,8.07,8.5,CHEMBL3855,P. aeruginosa,600,0.2,0,0,Cc1cccc(C)c1NC(=O)CSc1nnc(Cn2c(=O)c3c(ncn3C)n(C)c2=O)o1,compounds_normalized.sdf,455.50000000000017,1.21264,129.84,1,8,6,32,0,0,0,0,0,0,0,0,0,0.1859039836567925,0.262965274119024,0.7541528239202658,0.0,0.27181623394619214,1.05,low,Escherichia coli,0.2854070456435018,2,5,MurA; DHFR; FabI; GyrB; LpxC,"LpxC is a Zn-dependent deacetylase in lipid-A biosynthesis; hydroxamate-like chelation is a strong mechanistic flag, while similarity alone is insufficient."
T2Z14,GyrB,0.2,0.1896636849039595,0.7023809523809523,CHEMBL3735238,7.03,94.0,CHEMBL1921666,S. aureus,253,0.1929824561403508,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Br)cc1,compounds_normalized.sdf,642.4780000000003,2.0883199999999986,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.18181818181818182,0.2436970775643544,0.8605442176870748,0.02,0.30091499295324076,1.03,low,Escherichia coli,0.30994244274183796,1,5,MurA; DHFR; FabI; GyrB; LpxC,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
T2Z14,LpxC,0.22,0.2103447874199184,0.5833333333333334,CHEMBL2023138,8.07,8.5,CHEMBL3855,P. aeruginosa,600,0.21,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Br)cc1,compounds_normalized.sdf,642.4780000000003,2.0883199999999986,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.21818181818181814,0.2896550831553742,0.6904761904761906,0.0,0.2850761084511812,1.05,low,Escherichia coli,0.29932991387374025,2,5,MurA; DHFR; FabI; GyrB; LpxC,"LpxC is a Zn-dependent deacetylase in lipid-A biosynthesis; hydroxamate-like chelation is a strong mechanistic flag, while similarity alone is insufficient."
T2Z5,GyrB,0.2277227722772277,0.2089745958424818,0.7361111111111112,CHEMBL3735238,7.03,94.0,CHEMBL1921666,S. aureus,253,0.2075471698113207,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Br)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,541.3910000000003,1.7226999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.23222322232223216,0.2866102129832928,0.9087301587301589,0.02,0.3440736882164631,1.03,low,Escherichia coli,0.354395898862957,1,5,MurA; DHFR; FabI; GyrB; LpxC,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
T2Z5,LpxC,0.2448979591836734,0.2183662402760147,0.5666666666666667,CHEMBL2023522,8.96,1.1,CHEMBL3855,P. aeruginosa,600,0.2142857142857142,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Br)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,541.3910000000003,1.7226999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.2634508348794062,0.3074805339466993,0.6666666666666667,0.0,0.3085955509263779,1.05,low,Escherichia coli,0.3240253284726968,2,5,MurA; DHFR; FabI; GyrB; LpxC,"LpxC is a Zn-dependent deacetylase in lipid-A biosynthesis; hydroxamate-like chelation is a strong mechanistic flag, while similarity alone is insufficient."
T2Z6,GyrB,0.2277227722772277,0.2067174983288157,0.7361111111111112,CHEMBL3735875,6.58,262.0,CHEMBL1921666,S. aureus,253,0.2058823529411764,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Cl)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,496.9400000000003,1.6135999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.23222322232223216,0.2815944407307015,0.9087301587301589,0.02,0.3428197451533153,1.03,low,Escherichia coli,0.35310433750791476,1,5,MurA; DHFR; FabI; GyrB; LpxC,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
T2Z6,LpxC,0.22,0.1982601260126012,0.5666666666666667,CHEMBL2023522,8.96,1.1,CHEMBL3855,P. aeruginosa,600,0.2,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Cl)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,496.9400000000003,1.6135999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.21818181818181814,0.26280028002800265,0.6666666666666667,0.0,0.2747909790979097,1.05,low,Escherichia coli,0.2885305280528052,2,5,MurA; DHFR; FabI; GyrB; LpxC,"LpxC is a Zn-dependent deacetylase in lipid-A biosynthesis; hydroxamate-like chelation is a strong mechanistic flag, while similarity alone is insufficient."
T2Z9,GyrB,0.2,0.1858498023715415,0.7023809523809523,CHEMBL3735875,6.58,262.0,CHEMBL1921666,S. aureus,253,0.1909090909090909,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Cl)cc1,compounds_normalized.sdf,598.0270000000002,1.9792199999999995,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.18181818181818182,0.23522178304787,0.8605442176870748,0.02,0.2987961693241197,1.03,low,Escherichia coli,0.3077600544038433,1,5,MurA; DHFR; FabI; GyrB; LpxC,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
T2Z9,FabI,0.2,0.1881233671988389,0.7051282051282052,CHEMBL3623422,6.96,110.0,CHEMBL3994,S. aureus,331,0.19,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Cl)cc1,compounds_normalized.sdf,598.0270000000002,1.9792199999999995,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.18181818181818182,0.2402741493307531,0.8644688644688646,0.02,0.30064795791210885,1.0,low,Escherichia coli,0.30064795791210885,2,5,MurA; DHFR; FabI; GyrB; LpxC,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
X1V11,GyrB,0.282051282051282,0.2773230979515523,0.7424242424242424,CHEMBL3962799,5.7,2000.0,CHEMBL1826,E. coli,253,0.282051282051282,0,0,COc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,362.4360000000001,2.3983,106.67,2,7,5,24,0,0,0,0,0,0,0,0,0,0.33100233100233084,0.43849577322567174,0.9177489177489179,0.0,0.41278744646992105,1.03,moderate,Escherichia coli,0.4251710698640187,1,5,MurA; DHFR; FabI; GyrB; LpxC,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
X1V11,FabI,0.2463768115942029,0.2082019366845769,0.5733333333333334,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.2058823529411764,0,0,COc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,362.4360000000001,2.3983,106.67,2,7,5,24,0,0,0,0,0,0,0,0,0,0.26613965744400525,0.28489319263239316,0.6761904761904763,0.0,0.30572169830867235,1.0,low,Escherichia coli,0.30572169830867235,2,5,MurA; DHFR; FabI; GyrB; LpxC,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
X1V19,GyrB,0.2816901408450704,0.2525559768869628,0.8135593220338984,CHEMBL3944293,5.7,2000.0,CHEMBL1826,E. coli,253,0.25,0,0,N#Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,357.4200000000001,2.26138,121.23,2,7,4,24,0,0,0,0,0,0,0,0,0,0.33034571062740065,0.3834577264154728,1.0,0.0,0.4110372869175686,1.03,moderate,Escherichia coli,0.42336840552509564,1,5,MurA; DHFR; FabI; GyrB; LpxC,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
X1V19,LpxC,0.2027027027027027,0.1971384083476293,0.5316455696202531,CHEMBL1956131,9.19,0.64,CHEMBL3855,P. aeruginosa,600,0.2025316455696202,0,0,N#Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,357.4200000000001,2.26138,121.23,2,7,4,24,0,0,0,0,0,0,0,0,0,0.18673218673218667,0.2603075741058429,0.6166365280289331,0.0,0.250938466096894,1.05,low,Escherichia coli,0.2634853894017387,2,5,MurA; DHFR; FabI; GyrB; LpxC,"LpxC is a Zn-dependent deacetylase in lipid-A biosynthesis; hydroxamate-like chelation is a strong mechanistic flag, while similarity alone is insufficient."
X1V20,GyrB,0.2816901408450704,0.2525559768869628,0.8305084745762712,CHEMBL3944293,5.7,2000.0,CHEMBL1826,E. coli,253,0.25,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cccnc3)sc2c1,compounds_normalized.sdf,333.398,1.7846999999999995,110.33,2,7,4,22,0,0,0,0,0,0,0,0,0,0.33034571062740065,0.3834577264154728,1.0,0.0,0.4110372869175686,1.03,moderate,Escherichia coli,0.42336840552509564,1,5,MurA; DHFR; FabI; GyrB; LpxC,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
X1V20,FabI,0.2179487179487179,0.2009586574474215,0.4939759036144578,CHEMBL3623407,5.69,2040.0,CHEMBL3994,S. aureus,331,0.2125,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cccnc3)sc2c1,compounds_normalized.sdf,333.398,1.7846999999999995,110.33,2,7,4,22,0,0,0,0,0,0,0,0,0,0.21445221445221432,0.2687970165498256,0.5628227194492255,0.0,0.25884876928094736,1.0,low,Escherichia coli,0.25884876928094736,2,5,MurA; DHFR; FabI; GyrB; LpxC,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
X1V26,GyrB,0.3,0.2822763249079038,0.6901408450704225,CHEMBL3944293,5.7,2000.0,CHEMBL1826,E. coli,253,0.2837837837837837,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cc(Cl)ccc3O)sc2c1,compounds_normalized.sdf,382.854,2.748700000000001,117.67,3,7,4,24,0,0,0,0,0,0,0,0,1,0.3636363636363636,0.4495029442397861,0.8430583501006037,0.0,0.42065267039321885,1.03,moderate,Escherichia coli,0.43327225050501544,1,5,MurA; DHFR; FabI; GyrB; LpxC,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
X1V26,FabI,0.2285714285714285,0.2005007221954742,0.618421052631579,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.208955223880597,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cc(Cl)ccc3O)sc2c1,compounds_normalized.sdf,382.854,2.748700000000001,117.67,3,7,4,24,0,0,0,0,0,0,0,0,1,0.23376623376623362,0.26777938265660933,0.7406015037593986,0.0,0.2949181881111789,1.0,low,Escherichia coli,0.2949181881111789,2,5,MurA; DHFR; FabI; GyrB; LpxC,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
X1V9,GyrB,0.2941176470588235,0.2697204487696026,0.8448275862068966,CHEMBL3944293,5.7,2000.0,CHEMBL1826,E. coli,253,0.2692307692307692,0,0,Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,346.43700000000007,2.698120000000001,97.44,2,6,4,23,0,0,0,0,0,0,0,0,0,0.3529411764705881,0.42160099726578354,1.0,0.0,0.43187083755173994,1.03,moderate,Escherichia coli,0.44482696267829214,1,5,MurA; DHFR; FabI; GyrB; LpxC,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
X1V9,DHFR,0.216867469879518,0.1981817312704435,0.5421686746987951,CHEMBL367220,6.27,538.0,CHEMBL2329,C. albicans,232,0.2151898734177215,0,0,Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,346.43700000000007,2.698120000000001,97.44,2,6,4,23,0,0,0,0,0,0,0,0,0,0.21248630887185088,0.26262606948987444,0.6316695352839932,0.0,0.26665010210099305,1.0,low,Escherichia coli,0.26665010210099305,2,5,MurA; DHFR; FabI; GyrB; LpxC,FolA/DHFR is an essential folate-cycle enzyme; evidence is strongest when diaminopyrimidine-like or folate-mimetic chemistry is present and the nearest active reference ligands are similar.
BI-1,GyrB,0.375,0.317451558103732,0.6307692307692307,CHEMBL3341781,5.5,3132.0,CHEMBL1921666,S. aureus,253,0.3623188405797101,0,0,O=C(CSc1nc2cc(OC(F)F)ccc2[nH]1)Nc1ccccc1,compounds_normalized.sdf,349.3620000000001,3.895100000000002,67.00999999999999,2,4,6,24,0,0,0,0,0,0,0,0,0,0.5,0.5276701291194044,0.7582417582417583,0.0,0.4956537960161148,1.03,moderate,Proteus mirabilis,0.5105234098965983,1,5,MurA; DHFR; FabI; GyrB; LpxC,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
BI-1,LpxC,0.2051282051282051,0.1988599194232997,0.5138888888888888,CHEMBL3647226,8.02,9.55,CHEMBL3855,P. aeruginosa,600,0.2,0,0,O=C(CSc1nc2cc(OC(F)F)ccc2[nH]1)Nc1ccccc1,compounds_normalized.sdf,349.3620000000001,3.895100000000002,67.00999999999999,2,4,6,24,0,0,0,0,0,0,0,0,0,0.19114219114219105,0.2641331542739993,0.5912698412698413,0.0,0.25029486033007153,1.05,low,Proteus mirabilis,0.2628096033465751,2,5,MurA; DHFR; FabI; GyrB; LpxC,"LpxC is a Zn-dependent deacetylase in lipid-A biosynthesis; hydroxamate-like chelation is a strong mechanistic flag, while similarity alone is insufficient."
BI-6,GyrB,0.3164556962025316,0.2783629095754346,0.6438356164383562,CHEMBL3341781,5.5,3132.0,CHEMBL1921666,S. aureus,253,0.3026315789473684,0,0,Cc1cccc(NC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)c1,compounds_normalized.sdf,363.389,4.203520000000002,67.01,2,4,6,25,0,0,0,0,0,0,0,0,0,0.39355581127733014,0.44080646572318793,0.7769080234833661,0.0,0.42351572559196693,1.03,moderate,Proteus mirabilis,0.436221197359726,1,5,MurA; DHFR; FabI; GyrB; LpxC,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
